TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2025-02-15 19:18:29.097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-0167
2025-02-15 19:18:33.599,0,0.1096501410605798,0.2554862242397505,0,0,-0.3210458486432572,0.06379895111954217,0,0,0.2916928617612473,0.2305473945701358,0,0,0.3321237869625687,0.3637556954317109,0,0,-0.1037556170161647,0.06977478940982643,0,1350.622710622711,770.4029304029305,778.0586080586081,0,607.2161172161173,0.449890,0.099670,0.880371,0.269165,-2.250519,0.059814,1,2,1,1,4,50.000000
2025-02-15 19:18:34.113,0,0.3500528697813858,0.6255628767629038,0,0,-0.03961595717011559,0.4514702549537589,0,0,0.3544542903181435,0.4971117582845557,0,0,0.3543603520333168,0.3779038576193579,0,0,-0.05923230572206917,0.07215111840918408,0,813.5164835164835,788.1318681318681,770.4029304029305,544.3589743589744,938.021978021978,0.455078,0.105530,0.885193,0.523376,-1.854248,-0.598145,1,2,1,1,4,50.000000
2025-02-15 19:18:34.181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:34.416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:34.607,0,0.4460628863689192,0.6007876808952609,0,0,-0.01514695184528021,0.4876016559547169,0,0,0.3182189109431324,0.5134749257290514,0,0,0.4127125039936071,0.3963142120882303,0,0,-0.03087748070016525,0.1217512073132908,0,1060.915750915751,794.981684981685,797.3992673992674,1650,1101.208791208791,0.453430,0.118408,0.887329,1.368256,-2.377625,-0.284119,1,2,1,1,4,50.000000
2025-02-15 19:18:34.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:34.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:35.099,0,0.4625860218709879,0.6012707313830934,0,0,-0.05860461222838676,0.4837358790460181,0,0,0.1545065171984293,0.537461855941015,0,0,0.4153040568050967,0.3320886084588957,0,0,-0.103065605838158,0.1081154336270671,0,697.0695970695971,792.967032967033,790.5494505494506,1463.040293040293,834.8717948717949,0.454346,0.117432,0.880432,0.583191,-2.071075,-0.328979,1,2,1,1,4,50.000000
2025-02-15 19:18:35.605,0,0.460920665121259,0.2842523759721667,0,0,-0.202412622707261,0.1847855268751142,0,0,0.06409668604970788,0.412736058105532,0,0,0.3715361013493972,0.33573134328218,0,0,-0.09935152180344631,0.2245541854759607,0,834.4688644688645,784.5054945054945,778.4615384615385,1580.29304029304,903.3699633699634,0.447754,0.121216,0.877563,0.485992,-2.048645,-0.179443,1,2,1,1,4,50.000000
2025-02-15 19:18:35.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:35.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:36.100,0,0.2823137964173189,0.2524096315426959,0,0,-0.2918501394712456,0.235236874260156,0,0,-0.1992797445216709,0.3840435892498089,0,0,0.2845263621317481,0.3496034127532141,0,0,-0.0771819981093204,0.2567666931906624,0,739.3772893772893,779.6703296703297,774.8351648351648,1130.21978021978,760.7326007326008,0.449646,0.122620,0.887207,0.403748,-2.026215,-0.104675,1,2,1,1,4,50.000000
2025-02-15 19:18:36.510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:36.614,0,0.2079334559986245,0.150510601508803,0,0,0.1421402248223442,0.2301156167876719,0,0,0.2854192796863891,0.3511303471011374,0,0,0.2414741827669149,0.3408561004140432,0,0,0.1501994156677789,0.246355599363667,0,1275.274725274725,791.7582417582418,789.3406593406594,1506.959706959707,1028.278388278388,0.450378,0.123535,0.886597,0.538330,-2.108459,-0.194397,1,2,1,1,4,50.000000
2025-02-15 19:18:37.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:37.106,0,0.1235528205574517,0.2824085376090669,0,0,0.2225515419100421,0.2223448528082139,0,0,0.399389185981219,0.3554814727494792,0,0,0.2736797329858098,0.2584897446106452,0,0,0.1571547948458651,0.1161980199369889,0,434.3589743589744,788.9377289377289,790.952380952381,352.1611721611721,595.5311355311355,0.448059,0.121765,0.883667,0.343933,-2.086029,-0.628052,1,2,1,1,4,50.000000
2025-02-15 19:18:37.453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:37.600,0,0.1108976265312991,0.7151783379605697,0,0,0.2540042009418763,0.331762287673189,0,0,0.4237290512006046,0.4144715171265831,0,0,0.2420978910762679,0.1779133490522939,0,0,0.1471626043061606,-0.07446117341154009,0,455.3113553113553,806.2637362637363,747.4358974358975,25.38461538461539,708.3516483516484,0.441711,0.114807,0.883911,0.186920,-2.026215,-0.463562,1,2,1,1,4,50.000000
2025-02-15 19:18:37.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:38.054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:38.115,0,0.2502679916442603,0.8501983911099467,0,0,0.1555592045860938,0.3689024595027428,0,0,0.4242294490536456,0.3960001121169243,0,0,0.2321630456492731,0.1622066536156443,0,0,-0.09452299959852124,-0.1514401075522026,0,1268.424908424908,788.5347985347986,796.5934065934066,0,1097.985347985348,0.443787,0.111145,0.887756,0.059814,-1.764526,-0.471039,1,2,1,1,4,50.000000
2025-02-15 19:18:38.336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:38.610,0,0.3111910220419847,1.009756288249913,0,0,0.07442663527538668,0.5067084418686266,0,0,0.5896516527720561,0.384116717675919,0,0,0.4194736730663658,0.2031682092331666,0,0,-0.2569746013528382,-0.2076453481649511,0,671.6849816849817,786.1172161172161,790.5494505494506,0,732.9304029304029,0.442261,0.108521,0.887573,0.157013,-2.243042,-0.000000,1,2,1,1,2,50.000000
2025-02-15 19:18:38.677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:39.044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:39.105,0,0.3163802283604333,0.5631512479557665,0,0,0.06849206577316899,-0.05699538749331881,0,0,0.5448610658425903,0.281398675213876,0,0,0.4840919619228403,0.1784899116033583,0,0,-0.2693317850986703,-0.1893059012377283,0,721.6483516483516,796.5934065934066,794.5787545787546,1620.989010989011,576.5934065934066,0.439758,0.108948,0.891785,0.553284,-2.160797,-0.276642,1,2,1,1,4,50.000000
2025-02-15 19:18:39.130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:39.389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:39.561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:39.600,0,0.3183471181222025,0.2839312380623761,0,0,0.03262306670254993,-0.1749116976135244,0,0,0.5505738567329181,0.2930297516445018,0,0,0.5058554212145117,0.2074677555256387,0,0,-0.2017974760146109,-0.1888977679001475,0,504.0659340659341,802.2344322344322,794.5787545787546,32.63736263736264,1014.981684981685,0.440552,0.101379,0.893127,-0.022430,-1.779480,-0.246735,1,2,1,1,4,50.000000
2025-02-15 19:18:39.668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:39.884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:40.101,0,0.3643135111786861,0.2394131099527115,0,0,0.09485110782226659,-0.07146759508007219,0,0,0.4069806000531156,0.3069977053722581,0,0,0.3335331915666693,0.1383511582949853,0,0,-0.1163150026929411,-0.2719669522465391,0,422.2710622710623,789.3406593406594,790.1465201465202,0,803.040293040293,0.437500,0.105713,0.890076,0.583191,-2.003784,-0.097198,1,4,1,1,2,50.000000
2025-02-15 19:18:40.508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:40.612,0,0.3892511892784172,0.231717780211297,0,0,0.2244979934146466,0.2694754700733781,0,0,0.5534338269626984,0.3076212490354094,0,0,0.2667375844978054,0.1644294011923329,0,0,-0.1798320917213581,-0.3523873814739733,0,594.7252747252747,802.6373626373627,800.2197802197802,233.2967032967033,553.2234432234433,0.441650,0.100769,0.890320,0.052338,-2.011261,-0.261688,1,2,1,1,4,50.000000
2025-02-15 19:18:41.100,0,0.4289876731421559,0.5927018475543129,0,0,0.2999210321004384,0.4564874220245377,0,0,0.5534338269626984,0.4506435916599738,0,0,0.2091142018070503,0.08816714172573362,0,0,-0.206199405542758,-0.3515724873204651,0,338.0586080586081,795.3846153846154,787.3260073260074,1336.117216117216,828.021978021978,0.434387,0.101624,0.895142,0.598145,-2.011261,-0.261688,1,2,1,1,4,50.000000
2025-02-15 19:18:41.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:41.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:41.601,0,0.241719994473785,0.6347909794844363,0,0,0.2695427504878024,0.4464902042581818,0,0,0.5112326097314452,0.4888190407261537,0,0,0.2703554089543718,0.2524087459951481,0,0,-0.2682072898310588,-0.1251871354439225,0,399.7069597069597,786.1172161172161,785.3113553113553,0,752.2710622710623,0.431702,0.101990,0.894958,0.411224,-1.786957,-0.343933,1,2,1,1,4,50.000000
2025-02-15 19:18:41.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:41.819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:42.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:42.117,0,0.1226770309293834,0.5616755579865349,0,0,0.2036610158454648,0.1844911475012458,0,0,0.5109708747143372,0.4889441188245099,0,0,0.5148370170539762,0.585226019691487,0,0,-0.09383231758531969,0.07750829829743958,0,661.2087912087912,810.6959706959707,782.4908424908425,14.50549450549451,382.3809523809524,0.427917,0.096375,0.898621,1.188812,-2.579498,-0.044861,1,2,1,1,2,50.000000
2025-02-15 19:18:42.206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2025-02-15 19:18:42.420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:42.610,0,0.02264881614174235,0.2069101045842731,0,0,0.04718154626458469,-0.1303407593508515,0,0,0.4756283533071981,0.2391146229769729,0,0,0.5923751779594132,0.7386436024205539,0,0,-0.0764835168880883,0.09865310772894172,0,334.4322344322345,797.3992673992674,798.6080586080586,201.8681318681319,933.5897435897436,0.432983,0.095764,0.896362,0.186920,-1.958923,-0.261688,1,2,1,1,4,50.000000
2025-02-15 19:18:43.024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2025-02-15 19:18:43.106,0,0.06541457192433665,0.1451253353721259,0,0,-0.1112198328264235,-0.01972539154658918,0,0,0.4976590427930789,0.304084173812216,0,0,0.5497012169054774,0.7402643064600153,0,0,-0.002493500698285498,0.01567320355879293,0,720.8424908424909,803.040293040293,800.2197802197802,821.978021978022,937.2161172161173,0.431091,0.096375,0.895264,0.942078,-2.190704,0.201874,1,2,1,1,4,50.000000
2025-02-15 19:18:43.217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
